,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F
VMV2,,,,,,,,,,,1%,39%,82%,15%,,,,,,5%,,,,,3%,,,,,,,,,,,0%,3%,1%,80%,53%,,,,,,,,,,,0%,
VMV1,,,,,,,,,,1%,18%,60%,14%,1%,,,,,,0%,,,,,0%,,,,,,,,,,,1%,16%,9%,18%,39%,,,,,,,,,,,0%,
PHA3,,1%,,,,,,,,1%,31%,82%,96%,14%,,,,,,5%,,,,,3%,,,,,,,,,,,19%,85%,71%,96%,7%,,,,,,,,,,,,
PHA2,,,,,,,,,,11%,63%,95%,74%,4%,,,,,,2%,,,,,1%,,,,,,,,,,,46%,97%,88%,81%,1%,,,,,,,,,,,,
ProS,,,,,,,,,,47%,71%,71%,9%,8%,,,,,,3%,,,,,4%,,,,,,,,,,,71%,95%,80%,3%,10%,,,,,,,,,,,,
V2,,,,,,,,,,89%,97%,96%,100%,100%,,85%,,,,98%,,,12%,,100%,,,,,,,,,,,81%,98%,86%,100%,100%,,85%,,,,98%,,,33%,,100%,
V1,,,,,,,,,,3%,3%,11%,100%,100%,,35%,,,,99%,,,0%,,100%,,,,,,,,,,,11%,23%,7%,100%,100%,,30%,,,,98%,,,1%,,100%,
PGi,,12%,100%,,8%,47%,,,,,,,0%,0%,,,,,,6%,,,1%,,,,,5%,100%,0%,41%,91%,,,,,,,56%,,,,,,,20%,,,2%,0%,,
PFm,,46%,100%,52%,98%,100%,,,,,,,,,,,,,,31%,,,26%,2%,,,,,100%,23%,100%,100%,,,,,,,13%,,,,,,,43%,5%,,20%,17%,,
IP2,,,44%,12%,76%,100%,,,,,,,,,,,,,,8%,0%,,8%,1%,,,,,18%,17%,100%,100%,,,,,,,0%,,,,,,,29%,1%,,16%,4%,,
AIP,,1%,2%,0%,34%,98%,,,,,,,,,,,,,,1%,1%,,,1%,,,,1%,1%,16%,98%,96%,,,,,,,,,,,,,,17%,5%,,8%,7%,,
PGs,,,99%,46%,12%,78%,,,,,,,72%,49%,,40%,,,,73%,,,50%,,,,,,99%,14%,70%,99%,,,,,,,87%,19%,,,,,,80%,,,47%,,,
IP1,,,23%,55%,1%,62%,,,,,0%,,34%,16%,,11%,,,,56%,,,48%,,,,,,46%,44%,42%,91%,,,,,1%,,40%,35%,,,,,,85%,,,61%,0%,,
MIP,,,2%,86%,,4%,,,,,8%,,0%,0%,,,,,,84%,,,79%,,,,,,2%,95%,26%,75%,,0%,,,41%,,36%,36%,,,,,,99%,,,98%,0%,,
LIPd,,,2%,39%,1%,41%,,,,,0%,,,,,,,,,33%,,,26%,0%,,,,,1%,51%,47%,81%,,,,,0%,,0%,0%,,,,,,53%,1%,,39%,6%,,
VIP,,,1%,99%,,14%,,,,,3%,,,,,,,,,99%,,,98%,21%,,,,,,98%,15%,23%,,,,,5%,,2%,1%,,,,,,99%,11%,,99%,20%,,
LIPv,,,0%,78%,,53%,,,,,,,,,,,,,,68%,,,44%,1%,,,,,,97%,59%,88%,,,,,0%,,1%,0%,,,,,,91%,5%,,83%,16%,,
2,,,,7%,32%,100%,,,,,,,,,,,37%,,,49%,98%,,37%,86%,,,,0%,,15%,99%,86%,3%,,,,,,,,,,25%,,,32%,100%,,15%,89%,,
7PC,,,,68%,1%,98%,,,,,,,,,,,,,,88%,78%,,37%,41%,,,,,,94%,85%,99%,,,,,0%,,,,,,,,,89%,94%,,57%,64%,,
7AL,,,,80%,,44%,10%,,,,1%,,,,,,,,,98%,80%,,99%,78%,,,,,,96%,26%,56%,7%,0%,,,0%,,,,,,,,,99%,93%,,98%,84%,,
5L,,,,33%,,1%,47%,,,,,,,,,,3%,,,80%,71%,,95%,85%,,,,,,5%,,,65%,2%,,,,,,,,,10%,,,61%,79%,,91%,90%,,
9p,7%,,,,,,1%,9%,,7%,,,,,,,,,90%,,10%,96%,,44%,,,1%,,,,,15%,,3%,,1%,,,,27%,,,,,97%,,2%,97%,,14%,,
8BL,97%,,,,,,54%,64%,,61%,,,,,,,,,72%,,99%,95%,,99%,,,91%,,,,,34%,53%,68%,,61%,,,,0%,,,,,96%,,100%,99%,,100%,,
8Ad,70%,0%,,,,9%,0%,0%,,0%,,,,,,,,,59%,,74%,60%,,76%,,,80%,,,,,62%,,,,,,,,,,,,,70%,,68%,54%,,70%,,
9-46d,7%,7%,,,,37%,,,,,,,,26%,,,,,96%,,14%,87%,,21%,,,1%,4%,,,,43%,,,,,,,,60%,,,,,97%,,2%,97%,,7%,,
46,17%,42%,,,,52%,,,,,,,,0%,,,,,72%,,49%,45%,,43%,,,14%,34%,,,,62%,,,,,,,,2%,,,,,81%,,30%,77%,,52%,,
IFSa,21%,49%,,,,16%,,,,,,,,97%,,,,,95%,,3%,87%,,10%,,,2%,30%,,,,71%,,,,,,,,91%,,,,,99%,,,98%,,0%,,
p9-46v,70%,89%,,,,79%,,,,,,,,2%,,,,,62%,,57%,39%,,34%,,,84%,96%,,,32%,93%,,,,,,,,2%,,,,,74%,,63%,74%,,71%,,
IFSp,96%,94%,,,,42%,,,,,,,,37%,,,,1%,56%,,51%,37%,,18%,,,77%,91%,,,25%,91%,,,,,,,,23%,,,,,84%,,52%,83%,,54%,,
FOP5,22%,14%,,,,,,,,,,,,100%,53%,,,,89%,,0%,39%,,40%,,,10%,19%,,,7%,54%,,,,,,,,98%,,,,,96%,,29%,65%,,35%,,
45,95%,72%,,,,1%,,,,,,,,100%,24%,,,,99%,,39%,94%,,66%,,,48%,42%,,,14%,69%,,,,,,,,96%,,,,,100%,,37%,90%,,47%,,
FOP4,100%,96%,,,22%,,,,,,,,,88%,0%,,,20%,42%,,18%,1%,,67%,,,85%,64%,,,76%,33%,,,,,,,,25%,,,,,61%,,93%,11%,,56%,,
FOP3,41%,66%,,,2%,,,,,,,,,0%,,,,4%,,,34%,,,23%,,,17%,26%,,,49%,3%,,,,,,,,,,,,0%,10%,,94%,,,10%,,
6r,100%,100%,,,99%,27%,,,,,,,,3%,,,,98%,0%,,60%,,,51%,,,100%,92%,,,100%,86%,,,,,,,,3%,,,,99%,8%,,99%,,,91%,,
44,100%,100%,,,30%,19%,,,,,,,,58%,,,,46%,27%,,62%,3%,,68%,,,100%,98%,,,99%,94%,,,,,,,,19%,,,,47%,77%,,92%,39%,,87%,,
